run_id,fault_type,fault_category,severity,target_service,chaos_kind,injection_time,duration_seconds,text,label,confidence,split,pre_fault_baseline,source,dominant_log_signal,dominant_event_reason,warning_event_count,total_log_error_lines,cascade_depth
pod_kill__cartservice__0__238d84,pod_kill,pod,high,cartservice,PodChaos,2026-03-12T21:43:47.221215+00:00,30,"event_types: Killing, Scheduled, Pulled, Created, Started | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Killing | dominant_log_signal: none",pod_kill,1.0,test,True,chaos_mesh,,Killing,0,0,0
crashloop_backoff__checkoutservice__1__3865e4,crashloop_backoff,pod,high,checkoutservice,PodChaos,2026-03-12T23:37:36.250485+00:00,120,"event_types: Created, Started, Killing, Pulled, Unhealthy | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",crashloop_backoff,1.0,train,True,chaos_mesh,,Unhealthy,42,0,0
crashloop_backoff__checkoutservice__2__1be7d7,crashloop_backoff,pod,high,checkoutservice,PodChaos,2026-03-12T23:39:16.433908+00:00,120,event_types: Pulled | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Pulled | dominant_log_signal: none,crashloop_backoff,1.0,test,True,chaos_mesh,,Pulled,0,0,0
crashloop_backoff__productcatalogservice__0__0a15bf,crashloop_backoff,pod,high,productcatalogservice,PodChaos,2026-03-12T23:40:57.629596+00:00,120,"event_types: Created, Started, Killing, Pulled, Unhealthy | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",crashloop_backoff,1.0,train,True,chaos_mesh,,Unhealthy,43,0,0
crashloop_backoff__productcatalogservice__1__a5125e,crashloop_backoff,pod,high,productcatalogservice,PodChaos,2026-03-12T23:42:37.780990+00:00,120,"event_types: Created, Started, Killing, Pulled, Unhealthy | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",crashloop_backoff,1.0,train,True,chaos_mesh,,Unhealthy,43,0,0
crashloop_backoff__productcatalogservice__2__e304fe,crashloop_backoff,pod,high,productcatalogservice,PodChaos,2026-03-12T23:44:17.950487+00:00,120,event_types: Pulled | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Pulled | dominant_log_signal: none,crashloop_backoff,1.0,test,True,chaos_mesh,,Pulled,0,0,0
crashloop_backoff__paymentservice__0__8b8507,crashloop_backoff,pod,high,paymentservice,PodChaos,2026-03-12T23:45:48.652236+00:00,120,"event_types: Created, Started, Unhealthy, Killing, Pulled | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",crashloop_backoff,1.0,train,True,chaos_mesh,,Unhealthy,39,0,0
crashloop_backoff__paymentservice__1__0df0f5,crashloop_backoff,pod,high,paymentservice,PodChaos,2026-03-12T23:47:19.312397+00:00,120,"event_types: Created, Started, Unhealthy, Killing, Pulled | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Unhealthy | dominant_log_signal: none",crashloop_backoff,1.0,train,True,chaos_mesh,,Unhealthy,39,0,0
crashloop_backoff__paymentservice__2__f6cca6,crashloop_backoff,pod,high,paymentservice,PodChaos,2026-03-12T23:49:00.161660+00:00,120,event_types: Pulled | log_signals: none | fault_category: pod | severity: high | metrics: none | pod_status_reason: Pulled | dominant_log_signal: none,crashloop_backoff,1.0,test,True,chaos_mesh,,Pulled,0,0,0
image_pull_backoff__cartservice__0__40058f,image_pull_backoff,pod,medium,cartservice,PodChaos,2026-03-12T23:51:20.068983+00:00,60,event_types: none | log_signals: none | fault_category: pod | severity: medium | metrics: none | pod_status_reason: unknown | dominant_log_signal: none,image_pull_backoff,1.0,train,True,chaos_mesh,,,0,0,0
image_pull_backoff__cartservice__1__ce1a1b,image_pull_backoff,pod,medium,cartservice,PodChaos,2026-03-12T23:52:50.975106+00:00,60,event_types: none | log_signals: none | fault_category: pod | severity: medium | metrics: none | pod_status_reason: unknown | dominant_log_signal: none,image_pull_backoff,1.0,train,True,chaos_mesh,,,0,0,0
image_pull_backoff__cartservice__2__0cf659,image_pull_backoff,pod,medium,cartservice,PodChaos,2026-03-12T23:54:21.860214+00:00,60,event_types: none | log_signals: none | fault_category: pod | severity: medium | metrics: none | pod_status_reason: unknown | dominant_log_signal: none,image_pull_backoff,1.0,test,True,chaos_mesh,,,0,0,0
image_pull_backoff__frontend__0__0b357d,image_pull_backoff,pod,medium,frontend,PodChaos,2026-03-12T23:55:52.727494+00:00,60,"event_types: none | log_signals: permission_denied, resource_exhausted, http_5xx | fault_category: pod | severity: medium | metrics: none | pod_status_reason: unknown | dominant_log_signal: http_5xx",image_pull_backoff,1.0,train,True,chaos_mesh,http_5xx,,0,0,0
image_pull_backoff__frontend__1__a1d6e4,image_pull_backoff,pod,medium,frontend,PodChaos,2026-03-12T23:57:23.961514+00:00,60,"event_types: none | log_signals: permission_denied, resource_exhausted, http_5xx | fault_category: pod | severity: medium | metrics: none | pod_status_reason: unknown | dominant_log_signal: http_5xx",image_pull_backoff,1.0,train,True,chaos_mesh,http_5xx,,0,0,0
image_pull_backoff__frontend__2__4756ce,image_pull_backoff,pod,medium,frontend,PodChaos,2026-03-12T23:58:55.172915+00:00,60,"event_types: none | log_signals: permission_denied, resource_exhausted, http_5xx | fault_category: pod | severity: medium | metrics: none | pod_status_reason: unknown | dominant_log_signal: http_5xx",image_pull_backoff,1.0,test,True,chaos_mesh,http_5xx,,0,0,0
image_pull_backoff__checkoutservice__0__49f0bb,image_pull_backoff,pod,medium,checkoutservice,PodChaos,2026-03-13T00:00:26.452987+00:00,60,event_types: none | log_signals: http_5xx | fault_category: pod | severity: medium | metrics: none | pod_status_reason: unknown | dominant_log_signal: http_5xx,image_pull_backoff,1.0,train,True,chaos_mesh,http_5xx,,0,0,0
image_pull_backoff__checkoutservice__1__86557b,image_pull_backoff,pod,medium,checkoutservice,PodChaos,2026-03-13T00:01:57.264866+00:00,60,"event_types: none | log_signals: permission_denied, http_5xx | fault_category: pod | severity: medium | metrics: none | pod_status_reason: unknown | dominant_log_signal: permission_denied",image_pull_backoff,1.0,train,True,chaos_mesh,permission_denied,,0,0,0
image_pull_backoff__checkoutservice__2__b1d893,image_pull_backoff,pod,medium,checkoutservice,PodChaos,2026-03-13T00:03:28.019061+00:00,60,"event_types: none | log_signals: permission_denied, http_5xx | fault_category: pod | severity: medium | metrics: none | pod_status_reason: unknown | dominant_log_signal: permission_denied",image_pull_backoff,1.0,test,True,chaos_mesh,permission_denied,,0,0,0
image_pull_backoff__productcatalogservice__0__e5bd0f,image_pull_backoff,pod,medium,productcatalogservice,PodChaos,2026-03-13T00:04:58.827109+00:00,60,event_types: none | log_signals: none | fault_category: pod | severity: medium | metrics: none | pod_status_reason: unknown | dominant_log_signal: none,image_pull_backoff,1.0,train,True,chaos_mesh,,,0,0,0
image_pull_backoff__productcatalogservice__1__321278,image_pull_backoff,pod,medium,productcatalogservice,PodChaos,2026-03-13T00:06:29.564275+00:00,60,event_types: none | log_signals: none | fault_category: pod | severity: medium | metrics: none | pod_status_reason: unknown | dominant_log_signal: none,image_pull_backoff,1.0,train,True,chaos_mesh,,,0,0,0
image_pull_backoff__productcatalogservice__2__173207,image_pull_backoff,pod,medium,productcatalogservice,PodChaos,2026-03-13T00:08:00.362955+00:00,60,event_types: none | log_signals: none | fault_category: pod | severity: medium | metrics: none | pod_status_reason: unknown | dominant_log_signal: none,image_pull_backoff,1.0,test,True,chaos_mesh,,,0,0,0
image_pull_backoff__paymentservice__0__db9198,image_pull_backoff,pod,medium,paymentservice,PodChaos,2026-03-13T00:09:31.113457+00:00,60,"event_types: none | log_signals: permission_denied, http_5xx | fault_category: pod | severity: medium | metrics: none | pod_status_reason: unknown | dominant_log_signal: http_5xx",image_pull_backoff,1.0,train,True,chaos_mesh,http_5xx,,0,0,0
image_pull_backoff__paymentservice__1__a57716,image_pull_backoff,pod,medium,paymentservice,PodChaos,2026-03-13T00:11:01.869545+00:00,60,event_types: none | log_signals: http_5xx | fault_category: pod | severity: medium | metrics: none | pod_status_reason: unknown | dominant_log_signal: http_5xx,image_pull_backoff,1.0,train,True,chaos_mesh,http_5xx,,0,0,0
image_pull_backoff__paymentservice__2__02c58c,image_pull_backoff,pod,medium,paymentservice,PodChaos,2026-03-13T00:12:32.780717+00:00,60,"event_types: none | log_signals: permission_denied, resource_exhausted | fault_category: pod | severity: medium | metrics: none | pod_status_reason: unknown | dominant_log_signal: permission_denied",image_pull_backoff,1.0,test,True,chaos_mesh,permission_denied,,0,0,0
readiness_probe_fail__cartservice__0__6d95da,readiness_probe_fail,pod,medium,cartservice,PodChaos,2026-03-13T00:14:03.523767+00:00,90,event_types: none | log_signals: none | fault_category: pod | severity: medium | metrics: none | pod_status_reason: unknown | dominant_log_signal: none,readiness_probe_fail,1.0,train,True,chaos_mesh,,,0,0,0
